u,v,key,osmid,highway,name,ref,oneway,reversed,length,geometry,maxspeed,lanes,width,bridge,service,tunnel,access
1605610547,4696155948,0,"[475937304, 147342045]",unclassified,Rue du Cabestan,,False,False,18.31907569575756,"LINESTRING (-3.0429999 47.5962255, -3.0431491 47.5962501, -3.0432176 47.59621)",,,,,,,
1628702120,440898830,0,37613884,path,,,False,False,14.037458181015452,"LINESTRING (11.9570778 47.5962283, 11.9568906 47.5962274)",,,,,,,
1634769966,828454010,0,"[150577153, 150404727]","['path', 'track']",Haldenstrasse,,False,"[False, True]",23.6473609663125,"LINESTRING (8.2785254 47.5962028, 8.2787405 47.5962698, 8.2787669 47.59622)",,,,,,,
1681139440,12373191141,0,155759056,residential,Rue des Champs,,False,False,29.07589325769073,"LINESTRING (7.1170746 47.5962011, 7.1169055 47.5962156, 7.1166891 47.5962023)",,,,,,,
1690578386,336921903,0,156823216,track,,,False,True,30.148883440457112,"LINESTRING (16.20955 47.5962523, 16.2091512 47.5962178)",,,,,,,
1878565216,6521330606,0,177400155,residential,,,False,True,10.949446746963394,"LINESTRING (27.8762087 47.5962517, 27.8760721 47.5962169)",,,,,,,
1885039186,441705231,0,178128870,unclassified,,,False,True,8.37998614992676,"LINESTRING (-2.5489012 47.5962116, -2.5490127 47.5962167)",,,,,,,
2010677853,676823296,0,"[190442557, 351447630]","['service', 'residential']",Rue du Tilleul,,False,"[False, True]",51.29208091404855,"LINESTRING (7.501725 47.596223, 7.5022422 47.5962846, 7.5023114 47.5962948, 7.5023243 47.5962361)",,,,,,,
2019570459,66211812,0,203793418,track,Tauplitzalm Plateauweg,,False,True,9.084024051961602,"LINESTRING (13.9951398 47.5962173, 13.9952608 47.5962133)",20,,,,,,
2069759799,12367210551,0,28454262,track,,,False,True,78.92151422499312,"LINESTRING (10.5097646 47.5962406, 10.5100912 47.5962719, 10.5106682 47.5962363, 10.5108114 47.5962376)",,,,,,,
2079132498,1603544823,0,147150441,steps,,,False,False,26.61384385889259,"LINESTRING (10.5543953 47.5962079, 10.5545368 47.5962302, 10.5546189 47.596215, 10.554743 47.5962215)",,,,,,,
2157007001,2157007004,0,348427345,path,Woodridge Open Space Loop,,False,False,20.306364401011905,"LINESTRING (-122.1690136 47.596203, -122.1689709 47.596277, -122.1689645 47.5962826, -122.1689579 47.5962815, -122.1689502 47.5962772, -122.1689099 47.5962488, -122.168869 47.5962126)",,,1.0,,,,
2157007002,2157007003,0,348427345,path,Woodridge Open Space Loop,,False,True,22.829459737446793,"LINESTRING (-122.1681175 47.5962099, -122.1681837 47.5962455, -122.1682257 47.5962813, -122.1682371 47.5962893, -122.1682493 47.5962931, -122.1682526 47.5962843, -122.1682336 47.5962121)",,,1.0,,,,
2157007003,2157007002,0,348427345,path,Woodridge Open Space Loop,,False,False,22.829459737446793,"LINESTRING (-122.1682336 47.5962121, -122.1682526 47.5962843, -122.1682493 47.5962931, -122.1682371 47.5962893, -122.1682257 47.5962813, -122.1681837 47.5962455, -122.1681175 47.5962099)",,,1.0,,,,
