y,x,street_count,highway,ref,geometry
47.6185809,-122.3541567,4,,,POINT (-122.3541567 47.6185809)
47.6197584,-122.3541602,4,,,POINT (-122.3541602 47.6197584)
47.6209241,-122.354156,3,stop,,POINT (-122.354156 47.6209241)
47.6155926,-122.3542385,4,traffic_signals,,POINT (-122.3542385 47.6155926)
47.6175723,-122.351657,4,traffic_signals,,POINT (-122.351657 47.6175723)
47.6182311,-122.350802,4,traffic_signals,,POINT (-122.350802 47.6182311)
47.6185922,-122.3503333,5,traffic_signals,,POINT (-122.3503333 47.6185922)
47.6209383,-122.3475924,3,,,POINT (-122.3475924 47.6209383)
47.6185874,-122.3567489,4,traffic_signals,,POINT (-122.3567489 47.6185874)
47.6185889,-122.3514135,3,,,POINT (-122.3514135 47.6185889)
47.6185759,-122.3476152,5,traffic_signals,,POINT (-122.3476152 47.6185759)
47.6185676,-122.3450098,4,traffic_signals,,POINT (-122.3450098 47.6185676)
47.6185547,-122.3415686,4,,,POINT (-122.3415686 47.6185547)
47.6185409,-122.3384897,4,traffic_signals,,POINT (-122.3384897 47.6185409)
47.6185325,-122.335888,3,,,POINT (-122.335888 47.6185325)
47.6185309,-122.3352839,4,,,POINT (-122.3352839 47.6185309)
47.6185283,-122.3342987,4,traffic_signals,,POINT (-122.3342987 47.6185283)
47.6185263,-122.3330009,3,,,POINT (-122.3330009 47.6185263)
47.6185192,-122.3313886,3,,,POINT (-122.3313886 47.6185192)
47.6107298,-122.3430425,3,,,POINT (-122.3430425 47.6107298)
47.6117296,-122.341779,4,traffic_signals,,POINT (-122.341779 47.6117296)
47.6124084,-122.3408973,4,traffic_signals,,POINT (-122.3408973 47.6124084)
47.6130634,-122.3400465,4,traffic_signals,,POINT (-122.3400465 47.6130634)
47.6136909,-122.3392322,4,traffic_signals,,POINT (-122.3392322 47.6136909)
47.6143918,-122.3383323,4,traffic_signals,,POINT (-122.3383323 47.6143918)
47.6148264,-122.337749,4,traffic_signals,,POINT (-122.337749 47.6148264)
47.6150568,-122.3374463,4,traffic_signals,,POINT (-122.3374463 47.6150568)
47.6157232,-122.336573,4,traffic_signals,,POINT (-122.336573 47.6157232)
47.6170511,-122.3348682,4,traffic_signals,,POINT (-122.3348682 47.6170511)
