OBJECTID,YEAR,RACE,TENURE,AGE,F0___30_,F30___50_,F50___80_,F80___120_,Above_120_,All_
1067,2019,Asian,Owners,Children,1,0,0.436936936936937,0,0.0247011952191235,0.0753653444676409
1068,2019,Asian,Owners,Seniors,0.601001669449082,0.0601336302895323,0,0,0,0.0724613867893526
1069,2019,Asian,Renters,All,0.436743491958216,0.579878385848535,0.026171782060433,0,0,0.124749218878474
1070,2019,Asian,Renters,Children,0.726126126126126,0,0.291777188328912,0,0,0.171916890080429
1071,2019,Asian,Renters,Seniors,0.0711931443638761,0,0,0,0,0.0453305351521511
1072,2019,Black,All,All,0.501624064397684,0.610316040548599,0.295324675324675,0,0,0.313594040968343
1073,2019,Black,All,Children,0.337907375643225,0,0.167958656330749,0,0,0.174671592775041
1074,2019,Black,All,Seniors,0.598880597014925,0.52824184566428,0.19047619047619,0,0,0.414554794520548
1075,2019,Black,Owners,All,1,0.661442006269592,0.288973384030418,0,0,0.288627450980392
1076,2019,Black,Owners,Children,0,0,0,0,0,0
1077,2019,Black,Owners,Seniors,1,0.661442006269592,0.288973384030418,0,0,0.386382623224728
