osmid,y,x,street_count,highway,ref,railway,geometry
9965055702,47.6176761,-122.3256881,4,,,,POINT (-122.3256881 47.6176761)
9965055703,47.6164115,-122.3256623,4,,,,POINT (-122.3256623 47.6164115)
9965080021,47.61628,-122.3256621,3,,,,POINT (-122.3256621 47.61628)
9965080025,47.6153188,-122.3256494,3,,,,POINT (-122.3256494 47.6153188)
9965080033,47.615131,-122.3254546,3,,,,POINT (-122.3254546 47.615131)
9965080034,47.6151323,-122.3256523,3,,,,POINT (-122.3256523 47.6151323)
9965080035,47.615307,-122.3256594,3,,,,POINT (-122.3256594 47.615307)
9965080042,47.6196998,-122.3235833,3,,,,POINT (-122.3235833 47.6196998)
9966063761,47.6233176,-122.3396389,3,,,,POINT (-122.3396389 47.6233176)
9966063766,47.6232974,-122.3399115,3,,,,POINT (-122.3399115 47.6232974)
9966063775,47.616569,-122.3402697,4,,,,POINT (-122.3402697 47.616569)
9966063777,47.6167407,-122.3400618,3,,,,POINT (-122.3400618 47.6167407)
9966063795,47.6171223,-122.3392208,3,,,,POINT (-122.3392208 47.6171223)
9966063797,47.6159633,-122.3387404,3,,,,POINT (-122.3387404 47.6159633)
9966063798,47.6163273,-122.3382743,3,,,,POINT (-122.3382743 47.6163273)
9966132223,47.61816,-122.3383187,3,,,,POINT (-122.3383187 47.61816)
9966132225,47.6180677,-122.3377275,3,,,,POINT (-122.3377275 47.6180677)
9966132226,47.6181288,-122.3381623,3,,,,POINT (-122.3381623 47.6181288)
9986243847,47.6164125,-122.3254468,4,,,,POINT (-122.3254468 47.6164125)
9986243849,47.6162812,-122.3254498,3,,,,POINT (-122.3254498 47.6162812)
9986243853,47.6164164,-122.3246001,4,,,,POINT (-122.3246001 47.6164164)
9986243854,47.617686,-122.3246222,4,,,,POINT (-122.3246222 47.617686)
9986243855,47.6162865,-122.3246011,3,,,,POINT (-122.3246011 47.6162865)
9986243858,47.6178165,-122.3246294,3,,,,POINT (-122.3246294 47.6178165)
9986243862,47.6163198,-122.3235133,3,,,,POINT (-122.3235133 47.6163198)
9986243871,47.6177903,-122.3233728,3,,,,POINT (-122.3233728 47.6177903)
9986243874,47.6184838,-122.3233668,3,,,,POINT (-122.3233668 47.6184838)
9986243879,47.6186703,-122.3222989,3,,,,POINT (-122.3222989 47.6186703)
9986243880,47.6176372,-122.3222824,3,,,,POINT (-122.3222824 47.6176372)
9986243882,47.6176375,-122.3233527,3,,,,POINT (-122.3233527 47.6176375)
9986243888,47.6174962,-122.322279,4,,,,POINT (-122.322279 47.6174962)
